index,cases
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,1
12,2
13,2
14,5
15,8
16,10
17,14
18,11
19,12
20,6
21,6
22,9
23,10
24,5
25,0
26,4
27,0
28,9
29,2
30,5
31,21
32,5
33,3
34,8
35,7
36,10
37,2
38,7
39,4
40,1
41,7
42,2
43,11
44,8
45,15
46,5
47,0
48,6
49,10
50,17
51,33
52,6
53,20
54,38
55,52
56,40
57,63
58,65
59,31
60,30
61,16
62,25
63,15
64,13
65,37
66,16
67,29
68,27
69,11
70,12
71,16
72,6
73,20
74,26
75,10
76,10
77,25
78,21
79,11
80,35
81,0
82,27
83,13
84,21
85,52
86,41
87,137
88,150
89,61
90,28
91,62
92,13
93,10
94,40
95,66
96,48
97,4
98,13
99,21
100,22
101,2
102,10
103,8
104,3
105,4
106,5
107,16
108,10
109,9
110,23
111,3
112,0
113,0
114,1
115,40
116,10
117,9
118,4
119,19
120,4
121,5
122,5
123,7
124,12
125,3
126,5
127,2
128,1
129,0
130,4
131,4
132,274
133,104
134,57
135,106
136,29
137,19
138,9
139,12
140,4
141,1
142,20
143,9
144,0
145,21
146,1
147,2
148,6
149,6
150,23
151,5
152,1
153,3
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,27
164,9
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,16
174,23
175,0
176,0
177,0
178,12
179,13
180,0
181,0
182,0
183,17
184,37
185,43
186,9
187,10
188,0
189,0
190,0
191,0
192,1
193,0
194,0
195,14
196,26
197,39
198,28
199,9
200,0
201,0
202,0
203,0
204,0
205,12
206,14
207,11
208,9
209,12
210,11
211,11
212,0
213,0
214,0
215,0
216,0
217,0
218,0
